country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Iran,2006,IRN,71275768.0,995245162496.0,,,,,0.0,0.0,0.0,,624.722,-3.475,-0.629,245.157,17.474,7.857,0.56,6.105,0.76,185.317,13.209,0.29,0.824,193.2,193.43,9.273,9.275,179.971,29747.424,2.13,8.876,168.522,2452.306,174.79,29003.518,2067.248,90.363,97.499,9.003,87.371,1057.84,1755.435,125.12,14841.509,8.969,86.647,14770.415,1052.773,64.685,49.892,120.84,28.108,11.295,52.666,259.696,18.51,738.899,9.569,2.484,28.346,11.449,53.022,261.519,18.64,743.905,9.637,2.501,-0.23,-0.119,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.985,81.78,991.934,689.014,49.11,13916.853,1.323,31.99,34366.953,2449.531,25.389,46.783,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,2713.825,2120.271,28.346,11.449,53.022,261.519,18.64,743.905,9.637,2.501,,0.0,0.0,0.0,0.0,0.004,0.0,0.0,76.728,0.154,0.357,1.824,0.13,5.002,0.067,0.017
Iran,2007,IRN,72319424.0,1098784571392.0,,,,,0.0,0.0,0.0,,630.859,4.244,0.742,251.874,18.215,7.882,0.57,0.848,0.112,184.191,13.321,0.281,0.808,202.44,203.12,9.146,6.307,133.721,31167.166,2.051,6.558,135.563,2558.372,185.02,30459.473,2202.812,91.089,97.729,12.07,127.682,1185.522,1918.572,138.75,16392.859,12.099,127.372,16318.497,1180.144,68.309,52.597,128.14,-2.972,-1.884,50.781,248.343,17.96,702.18,8.842,2.253,-2.868,-1.842,51.18,250.279,18.1,707.693,8.911,2.271,-0.68,-0.336,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,7.139,999.074,631.919,45.7,13814.737,1.251,30.633,34294.582,2480.164,22.499,44.325,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,2808.651,2253.991,-2.868,-1.842,51.18,250.279,18.1,707.693,8.911,2.271,0.0,-0.0,0.0,0.0,0.0,0.004,0.0,0.0,12.45,0.042,0.398,1.936,0.14,5.509,0.069,0.018
Iran,2008,IRN,73318400.0,1132365742080.0,,,,,0.0,0.0,0.0,,662.359,-21.263,-3.873,195.617,14.342,5.319,0.39,-4.505,-0.6,173.498,12.721,0.185,0.617,208.3,210.49,9.114,3.078,69.376,31688.732,2.052,4.499,99.104,2766.7,202.85,31396.146,2301.915,96.37,99.077,6.102,72.345,1257.867,1842.102,135.06,17156.227,4.705,55.53,16853.535,1235.674,64.165,54.14,139.42,-58.583,-29.88,20.901,101.475,7.44,285.075,3.535,0.9,-57.823,-29.728,21.452,104.203,7.64,292.587,3.63,0.923,-2.19,-1.051,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.066,30.632,1029.706,919.278,67.4,14044.305,1.017,25.234,34171.48,2505.398,32.021,44.32,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,2870.903,2323.367,-57.823,-29.728,21.452,104.203,7.64,292.587,3.63,0.923,100.0,0.0,0.001,0.0,0.0,0.008,0.0,0.0,38.964,0.152,0.55,2.728,0.2,7.504,0.095,0.024
Iran,2009,IRN,74322688.0,1208128372736.0,,,,,0.0,0.0,0.0,,666.832,-35.471,-5.087,124.525,9.255,5.113,0.38,-27.547,-3.504,124.006,9.216,0.171,0.389,217.73,221.81,9.372,2.407,55.923,32012.967,1.969,2.518,57.961,2890.907,214.86,31751.764,2359.876,96.867,99.184,7.161,90.077,1347.944,2010.288,149.41,18136.375,9.847,121.682,18263.01,1357.356,67.359,56.653,147.91,-9.613,-2.126,18.775,90.417,6.72,252.62,3.03,0.789,-8.944,-2.039,19.413,93.511,6.95,261.204,3.133,0.816,-4.08,-1.874,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.625,-27.029,1002.677,875.507,65.07,13490.863,-3.809,-95.438,32425.627,2409.96,29.336,42.142,0.005,0.002,,,0.005,0.023,,0.073,0.001,,0.0,2984.418,2379.29,-8.944,-2.039,19.413,93.511,6.95,261.204,3.133,0.816,50.0,0.0,0.001,0.0,0.0,0.011,0.0,0.0,15.526,0.082,0.632,3.095,0.23,8.5,0.104,0.027
Iran,2010,IRN,75373864.0,1310507008000.0,,,,,0.133,0.01,0.004,,661.236,44.393,4.109,177.298,13.364,4.644,0.35,-5.469,-0.504,115.589,8.712,0.149,0.55,231.99,235.68,9.771,2.16,51.398,32248.412,1.855,1.773,41.852,2988.437,225.25,31864.209,2401.729,95.575,98.809,7.118,95.95,1443.894,2306.502,173.85,19156.428,6.022,81.746,19092.846,1439.102,73.765,59.403,155.84,52.491,9.68,28.455,135.989,10.25,377.521,4.349,1.171,50.073,9.545,28.959,138.377,10.43,384.202,4.425,1.191,-3.69,-1.591,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.805,-58.206,944.471,677.29,51.05,12530.483,2.323,55.979,32716.096,2465.938,21.661,38.856,0.033,0.01,,500.0,0.027,0.135,,0.432,0.004,,0.001,3126.813,2430.688,50.073,9.545,28.959,138.377,10.43,384.202,4.425,1.191,133.333,0.001,0.002,0.0,0.0,0.026,0.0,0.0,-25.287,-0.163,0.469,2.255,0.17,6.223,0.072,0.019
Iran,2011,IRN,76342968.0,1345049329664.0,,,,,0.262,0.02,0.008,,654.06,2.765,0.37,179.888,13.733,5.632,0.43,6.887,0.6,121.982,9.312,0.183,0.543,230.58,235.59,9.393,3.983,96.818,33107.25,1.879,3.971,95.363,2941.594,224.57,32708.865,2497.092,95.322,98.797,6.097,88.032,1531.926,1864.35,142.33,20066.369,4.917,70.761,19777.363,1509.863,60.414,60.61,154.09,4.214,1.018,29.473,139.895,10.68,386.067,4.533,1.166,5.693,1.455,30.414,144.349,11.02,398.385,4.678,1.203,-5.01,-2.173,,0.283,0.283,1.441,0.11,3.713,0.047,0.011,0.737,6.961,951.432,1071.611,81.81,12462.606,0.234,5.766,32376.32,2471.704,34.726,37.643,0.07,0.022,,115.686,0.038,0.288,,0.92,0.009,,0.003,3085.942,2527.506,4.666,1.172,30.13,142.908,10.91,394.672,4.631,1.192,0.0,-0.0,0.002,0.0,0.0,0.025,0.0,0.0,25.444,0.116,0.585,2.751,0.21,7.661,0.089,0.023
Iran,2012,IRN,77324448.0,1324570771456.0,,,,,0.259,0.02,0.008,,648.348,-22.442,-3.082,137.746,10.651,5.173,0.4,-10.309,-0.96,108.017,8.352,0.161,0.417,241.61,248.74,9.844,0.953,24.091,32998.57,1.926,0.623,15.555,3032.547,234.49,32494.855,2512.647,94.271,98.474,-0.422,-6.471,1525.455,2022.0,156.35,19727.982,3.94,59.495,20295.748,1569.358,62.857,59.784,161.27,17.016,4.806,34.28,161.656,12.5,443.323,5.025,1.343,29.333,8.535,38.949,184.288,14.25,503.713,5.729,1.526,-7.13,-2.951,1255.695,3.536,3.82,18.752,1.45,49.398,0.583,0.15,2.639,25.108,976.54,1005.374,77.74,12629.126,-15.08,-372.736,27144.949,2098.968,31.254,38.272,0.072,0.023,,2.727,0.002,0.292,,0.933,0.009,,0.003,3216.835,2551.596,17.306,4.999,35.13,165.536,12.8,454.316,5.146,1.377,0.0,-0.0,0.002,0.0,0.0,0.025,0.0,0.0,33.491,0.191,0.776,3.621,0.28,10.035,0.113,0.03
Iran,2013,IRN,78458928.0,1287095582720.0,,,,,0.255,0.02,0.008,,633.624,-16.791,-1.788,112.959,8.863,5.863,0.46,0.67,0.056,107.169,8.408,0.178,0.334,250.98,258.86,9.882,3.936,100.436,33801.539,2.06,3.492,87.74,3055.612,239.74,33143.285,2600.386,92.614,98.053,0.845,12.89,1538.345,1754.931,137.69,19607.008,0.377,5.923,20077.773,1575.281,53.191,58.006,164.02,16.973,5.577,39.857,186.34,14.62,507.992,5.648,1.503,34.07,12.697,51.646,243.694,19.12,658.255,7.386,1.947,-7.88,-3.14,193.13,7.309,11.129,54.296,4.26,141.846,1.646,0.42,7.848,76.639,1053.179,1294.818,101.59,13423.315,-5.988,-125.683,25150.557,1973.286,39.245,39.712,0.062,0.019,,-14.602,-0.011,0.246,,0.785,0.007,,0.002,3299.306,2652.032,16.042,5.387,40.517,189.398,14.86,516.409,5.741,1.528,0.0,-0.0,0.002,0.0,0.0,0.024,0.0,0.0,-22.615,-0.179,0.597,2.804,0.22,7.607,0.085,0.023
Iran,2014,IRN,79961672.0,1352736964608.0,,,,,0.625,0.05,0.018,,644.161,19.067,1.69,131.969,10.552,6.628,0.53,3.628,0.305,108.97,8.713,0.192,0.381,269.74,275.63,10.07,4.408,116.89,34628.117,2.047,4.537,117.971,3211.664,256.81,33995.758,2718.358,93.172,98.174,12.719,195.665,1734.009,2401.15,192.0,21685.508,11.377,179.225,21941.838,1754.506,69.659,62.624,177.55,-0.821,-0.564,39.293,181.337,14.5,491.395,5.261,1.419,-1.556,-1.081,50.564,235.363,18.82,632.359,6.828,1.826,-5.89,-2.184,-4.368,-0.55,10.579,50.899,4.07,132.304,1.477,0.382,-7.537,-79.383,973.796,803.885,64.28,12178.281,2.578,50.875,25314.137,2024.161,23.321,35.169,0.149,0.047,,141.451,0.087,0.583,,1.86,0.017,,0.005,3447.026,2768.922,-0.752,-0.532,39.985,184.463,14.75,500.055,5.351,1.444,0.0,-0.0,0.002,0.0,0.0,0.024,0.0,0.0,-8.676,-0.055,0.542,2.501,0.2,6.776,0.073,0.02
Iran,2015,IRN,81790848.0,1331012173824.0,,,,,0.245,0.02,0.007,,650.835,20.304,2.143,155.214,12.695,5.624,0.46,13.572,1.183,120.992,9.896,0.164,0.464,277.57,280.24,10.35,-1.195,-33.086,33449.172,2.055,-1.018,-27.677,3219.553,263.33,32897.086,2690.681,93.966,98.349,6.124,106.185,1840.195,2526.077,206.61,22498.787,4.615,80.973,22441.127,1835.479,73.726,67.263,182.39,-8.632,-3.605,35.687,161.999,13.25,436.324,4.728,1.304,-10.173,-5.409,45.156,206.747,16.91,552.086,6.034,1.651,-2.67,-0.962,-14.109,-1.547,9.033,42.792,3.5,110.435,1.249,0.33,-13.966,-136.005,837.791,687.852,56.26,10243.086,3.56,72.065,25629.094,2096.225,20.076,30.623,0.052,0.016,,-65.021,-0.097,0.199,,0.636,0.006,,0.002,3426.3,2735.836,-9.087,-3.862,36.123,163.955,13.41,441.651,4.785,1.32,114.286,0.002,0.004,0.0,0.0,0.049,0.0,0.0,-29.5,-0.162,0.38,1.712,0.14,4.642,0.05,0.014
Iran,2016,IRN,83306232.0,1413723717632.0,,,,,0.24,0.02,0.007,,642.133,-16.821,-2.135,126.757,10.56,5.882,0.49,4.595,0.455,124.249,10.351,0.171,0.366,283.67,286.14,10.045,5.445,148.961,34628.828,2.041,5.043,135.699,3169.871,264.07,33927.59,2826.38,92.287,97.975,6.684,122.996,1963.19,2704.72,225.32,23565.949,8.605,157.94,23928.812,1993.419,78.745,68.053,183.74,16.375,5.598,41.285,185.1,15.42,495.584,5.389,1.431,30.598,13.262,58.417,264.926,22.07,701.238,7.713,2.025,-2.47,-0.871,85.226,7.599,16.632,77.665,6.47,199.644,2.261,0.577,1.771,14.839,852.63,459.269,38.26,10234.884,19.918,417.535,30174.934,2513.76,13.371,29.556,0.07,0.022,,33.742,0.018,0.262,,0.835,0.008,,0.002,3434.797,2884.797,16.36,5.663,41.786,187.261,15.6,501.594,5.452,1.448,233.333,0.009,0.013,0.0,0.0,0.161,0.0,0.0,10.638,0.038,0.418,1.921,0.16,5.013,0.056,0.014
Iran,2017,IRN,84505080.0,1486668300288.0,,,,,0.237,0.02,0.007,,641.675,13.466,1.422,141.786,11.982,8.165,0.69,,,,,0.226,0.4,300.85,305.17,10.327,3.832,110.534,35445.574,2.015,3.686,104.171,3319.918,280.55,34678.988,2930.551,91.932,97.837,4.424,86.849,2050.04,2987.986,252.5,24259.367,7.278,145.082,25306.18,2138.501,82.741,68.441,195.82,11.736,4.574,45.859,203.893,17.23,542.682,5.646,1.531,11.499,6.363,64.78,291.343,24.62,766.582,8.068,2.163,-4.32,-1.436,7.465,1.136,17.768,82.362,6.96,210.26,2.281,0.593,1.865,15.9,868.529,323.768,27.36,10277.837,8.511,213.939,32278.521,2727.699,8.965,28.996,0.078,0.024,,12.11,0.008,0.289,,0.923,0.008,,0.003,3611.262,2995.331,13.172,5.226,47.012,208.982,17.66,556.322,5.787,1.57,1616.1,0.215,0.228,1.065,0.09,2.702,0.029,0.008,103.846,0.429,0.846,3.787,0.32,10.015,0.105,0.028
Iran,2018,IRN,85617560.0,1483607244800.0,,,,,0.234,0.02,0.006,,657.916,32.276,3.867,185.112,15.849,8.059,0.69,,,,,0.221,0.512,308.64,312.35,10.183,3.358,100.588,36159.855,2.087,4.068,119.209,3441.233,294.63,35620.734,3049.76,94.327,98.509,3.726,76.394,2126.434,3110.227,266.29,24836.422,2.934,62.751,25710.283,2201.252,85.254,68.685,205.5,-42.909,-19.831,26.029,114.93,9.84,304.011,3.15,0.841,-28.021,-18.621,46.159,206.967,17.72,539.126,5.673,1.491,-3.71,-1.202,-1.038,-0.287,17.481,80.474,6.89,204.173,2.206,0.565,4.484,38.948,907.478,322.948,27.65,10599.199,-5.081,-138.589,30240.404,2589.11,8.852,29.312,0.078,0.024,,0.0,0.0,0.285,,0.911,0.008,,0.003,3648.2,3095.919,-38.652,-18.334,28.678,126.493,10.83,334.953,3.467,0.926,158.512,0.359,0.587,2.57,0.22,6.854,0.07,0.019,135.849,1.138,1.984,8.76,0.75,23.176,0.24,0.064
Iran,2019,IRN,86564208.0,1438754537472.0,,,,,0.116,0.01,0.003,,607.733,19.459,3.084,218.715,18.933,8.549,0.74,,,,,0.232,0.58,312.03,318.89,9.976,5.428,168.052,37705.781,2.269,3.457,105.445,3204.211,277.37,36449.309,3155.206,86.98,96.668,2.702,57.462,2183.896,2824.608,244.51,25228.619,3.72,81.888,26375.1,2283.14,76.675,66.909,193.8,244.226,63.239,89.267,391.27,33.87,1031.225,10.621,2.735,134.31,62.607,108.766,479.644,41.52,1256.473,13.02,3.332,-6.86,-2.199,-6.895,-1.265,16.215,74.049,6.41,187.323,2.01,0.497,4.948,44.9,952.377,371.054,32.12,11001.976,-27.368,-708.589,21723.994,1880.52,10.072,29.178,0.034,0.011,,-56.277,-0.044,0.123,,0.394,0.003,,0.001,3683.855,3263.971,224.048,63.872,92.55,405.595,35.11,1069.15,11.01,2.836,130.134,0.759,1.346,5.892,0.51,15.544,0.16,0.041,-3.733,-0.081,1.903,8.318,0.72,21.986,0.226,0.058
Iran,2020,IRN,87290192.0,1446203752448.0,,,,,0.229,0.02,0.006,,632.77,13.127,2.485,245.368,21.418,8.592,0.75,,,,,0.222,0.632,330.4,337.2,10.103,3.799,123.983,38812.543,2.343,4.795,151.291,3504.861,305.94,37879.355,3306.496,90.73,97.596,8.415,183.778,2367.673,3072.854,268.23,27124.162,3.268,74.615,27010.539,2357.755,79.546,69.885,213.37,-31.478,-28.324,60.943,265.78,23.2,698.166,6.88,1.799,-24.691,-27.307,81.458,358.116,31.26,933.191,9.27,2.404,-6.8,-2.058,-1.253,-0.262,15.953,72.517,6.33,182.764,1.877,0.471,-3.672,-34.973,917.405,423.415,36.96,10509.824,-8.671,-163.055,19675.35,1717.465,10.961,27.078,0.071,0.022,,109.077,0.037,0.256,,0.817,0.007,,0.002,3862.977,3387.954,-28.97,-27.045,65.505,285.599,24.93,750.428,7.393,1.933,14.378,0.188,1.533,6.645,0.58,17.567,0.172,0.045,55.956,1.054,2.957,12.945,1.13,33.878,0.335,0.087
Iran,2021,IRN,87923432.0,1525523152896.0,,,,,0.227,0.02,0.006,,656.56,-2.729,-0.585,236.952,20.834,8.53,0.75,,,,,0.217,0.627,338.53,345.33,10.488,-1.945,-65.896,37783.531,2.178,-1.03,-34.057,3697.99,325.14,37219.195,3272.439,94.153,98.506,-3.056,-72.359,2295.314,3305.035,290.59,26105.834,3.0,70.733,27620.484,2428.488,84.148,69.093,226.73,-40.414,-24.762,36.181,169.238,14.88,411.503,4.309,1.089,-38.913,-31.84,49.619,229.632,20.19,564.339,5.847,1.494,-6.8,-2.009,-44.132,-7.073,8.88,40.262,3.54,100.999,1.025,0.267,4.239,38.887,956.291,384.425,33.8,10876.41,16.599,285.075,22775.951,2002.54,9.788,28.786,0.071,0.022,,-0.004,-0.0,0.254,,0.811,0.006,,0.002,3927.622,3322.058,-37.588,-24.767,40.738,189.369,16.65,463.34,4.821,1.226,0.0,-0.006,1.528,7.052,0.62,17.376,0.18,0.046,0.413,0.001,2.959,12.852,1.13,33.649,0.327,0.089
Iran,2022,IRN,88550568.0,1572209033216.0,,,,,0.226,0.02,0.006,,665.154,3.216,0.67,242.841,21.504,8.47,0.75,,,,,0.215,0.62,340.93,348.13,10.165,4.359,144.815,39151.336,2.205,4.167,136.355,3750.512,332.11,38495.457,3408.794,95.398,98.325,4.3,98.698,2394.013,3390.041,300.19,27035.543,2.0,48.57,27973.367,2477.058,86.229,69.054,231.56,1.28,0.33,36.51,84.133,7.45,412.31,2.14,1.053,17.986,8.46,58.079,180.914,16.02,655.88,4.602,1.675,-7.2,-2.112,85.664,7.547,16.427,74.195,6.57,185.511,1.887,0.474,3.868,36.987,993.278,352.002,31.17,11217.07,4.679,93.698,23672.781,2096.238,8.954,28.651,0.09,0.028,,26.27,0.019,0.319,,1.017,0.008,,0.003,3931.426,3466.873,2.607,0.913,41.651,106.719,9.45,470.369,2.715,1.201,18.321,0.273,1.801,8.244,0.73,20.34,0.21,0.052,10.251,0.291,3.25,14.116,1.25,36.702,0.359,0.094
Iran,2023,IRN,89172768.0,2890930520064.0,,,,,0.224,0.02,0.006,,655.125,1.8,0.387,245.487,21.891,8.411,0.75,,,,,0.207,0.62,355.61,363.03,10.454,1.853,64.243,39598.59,1.8450000000000002,1.215,41.413,3818.543,340.51,38691.266,3450.207,93.797,97.709,2.57,61.522,2455.535,3526.076,314.43,27536.824,1.604,39.722,28223.631,2516.779,86.613,69.54,237.83,61.761,22.335,58.845,156.438,13.95,659.897,3.843,1.666,39.372,22.83,80.909,252.543,22.52,907.328,6.203,2.291,-7.42,-2.087,1.051,0.112,16.539,73.677,6.57,185.477,1.81,0.468,-2.064,-20.496,972.781,284.055,25.33,10908.952,18.893,396.05,27948.984,2492.288,6.977,27.549,0.09,0.028,,0.0,0.0,0.316,,1.01,0.008,,0.003,4071.086,3531.116,55.128,22.718,64.369,178.866,15.95,721.851,4.394,1.823,10.317,0.179,1.98,8.186,0.73,22.201,0.201,0.056,6.693,0.205,3.455,14.018,1.25,38.744,0.344,0.098
Japan,2000,JPN,126803864.0,4209652006912.0,,,,,127.047,16.11,1.465,,424.427,7.203,74.626,8758.434,1110.603,1878.807,238.24,-25.814,-6.569,148.876,18.878,21.665,17.76,1099.67,1099.67,20.116,1.779,109.312,49314.926,1.485,2.074,102.546,5358.828,679.52,39797.359,5046.459,61.793,80.7,4.162,30.232,756.65,2038.581,258.5,5967.091,7.844,2.268,245.921,31.184,23.507,12.1,466.73,0.807,1.999,249.771,666.147,84.47,1969.742,7.681,3.994,0.571,6.767,1206.865,3313.385,420.15,9517.571,38.207,19.3,0.0,0.0,0.595,5.353,905.512,2516.642,319.12,7141.046,29.02,14.48,-0.073,-2.312,3179.205,1441.439,182.78,25071.832,8.625,0.647,64.269,8.15,16.621,50.84,50.242,16.111,,-2.279,-1.173,127.055,,396.218,1.465,,0.803,8672.213,6253.323,0.496,1.413,301.353,796.742,101.03,2376.526,9.187,4.819,57.808,0.373,1.017,2.681,0.34,8.023,0.031,0.016,199.75,0.215,0.322,0.867,0.11,2.542,0.01,0.005
Japan,2001,JPN,127065736.0,4224163250176.0,,,,,126.155,16.03,1.48,,424.017,2.391,26.551,8949.342,1137.155,1998.257,253.91,2.236,0.422,151.892,19.3,23.442,18.384,1083.14,1083.14,20.024,-1.081,-67.62,48681.129,1.464,-1.11,-56.011,5227.846,664.28,39274.535,4990.448,61.329,80.677,2.727,20.634,777.284,2018.797,256.52,6117.179,-0.474,-0.148,244.252,31.036,23.683,12.566,459.27,-3.47,-10.233,239.538,641.715,81.54,1885.153,7.528,3.872,-0.309,-11.609,1195.256,3296.404,418.86,9406.594,38.671,19.323,0.0,0.0,0.444,-1.887,903.625,2522.631,320.54,7111.479,29.594,14.608,-3.246,-103.196,3076.01,1210.791,153.85,24208.018,0.252,0.021,64.298,8.17,14.204,49.728,49.884,16.029,,-0.511,-0.358,126.145,,392.581,1.48,,0.806,8524.249,6185.704,-2.687,-9.722,291.63,773.773,98.32,2295.115,9.077,4.715,45.247,0.451,1.468,3.935,0.5,11.554,0.046,0.024,131.193,0.418,0.74,1.967,0.25,5.826,0.023,0.012
Japan,2002,JPN,127301744.0,4226576285696.0,,,0.0,0.0,133.07,16.94,1.536,0.0,433.726,6.222,70.753,9488.543,1207.908,2077.112,264.42,-57.205,-11.041,64.882,8.26,23.971,19.59,1103.07,1103.07,20.399,-0.32,-19.807,48435.285,1.459,0.081,4.034,5421.528,690.17,39233.41,4994.481,62.568,81.002,-2.164,-16.824,760.46,1985.519,252.76,5973.684,10.691,3.318,269.864,34.354,22.914,12.333,478.43,-1.149,-4.28,235.258,633.141,80.6,1848.035,7.307,3.815,-1.421,-23.841,1171.415,3243.475,412.9,9201.875,37.432,18.998,0.0,0.0,-1.959,-23.419,880.207,2468.623,314.26,6914.334,28.49,14.275,-1.622,-49.897,3026.113,1358.897,172.99,23771.182,-1.211,-0.099,63.401,8.071,15.683,49.078,52.717,16.939,,5.681,2.833,133.064,,414.11,1.536,,0.855,8665.003,6165.896,0.335,-0.422,291.208,774.852,98.64,2287.541,8.942,4.723,38.996,0.559,2.027,5.42,0.69,15.927,0.063,0.033,63.889,0.465,1.205,3.221,0.41,9.469,0.037,0.02
Japan,2003,JPN,127502352.0,4288493387776.0,,0.0,0.0,0.0,140.233,17.88,1.636,0.0,476.318,2.761,33.351,9735.188,1241.259,2290.625,292.06,-2.302,-0.19,63.288,8.069,26.731,20.141,1092.59,1092.59,19.737,-0.048,-2.984,48335.68,1.437,3.987,199.139,5885.225,750.38,40733.523,5193.62,68.679,84.272,9.8,74.522,834.982,2141.921,273.1,6548.759,3.134,1.077,277.883,35.431,24.996,13.549,520.42,14.73,32.922,268.18,725.242,92.47,2103.336,8.463,4.352,-17.121,-202.123,969.292,2683.95,342.21,7602.152,31.321,15.728,0.0,0.0,-26.787,-239.913,640.294,1804.516,230.08,5021.821,21.058,10.389,3.016,91.266,3117.378,1452.679,185.22,24449.576,2.265,0.183,64.735,8.254,16.952,50.583,55.638,17.876,,5.532,2.921,140.205,,436.372,1.636,,0.903,8569.175,6162.913,13.672,37.79,328.998,879.435,112.13,2580.331,10.263,5.338,37.335,0.739,2.767,7.451,0.95,21.698,0.087,0.045,101.453,1.207,2.413,6.51,0.83,18.924,0.076,0.039
Japan,2004,JPN,127671288.0,4380398190592.0,,0.0,0.0,0.0,141.379,18.05,1.61,0.0,450.263,2.646,32.843,9979.555,1274.103,2313.676,295.39,0.044,0.004,63.233,8.073,26.346,20.395,1121.19,1121.19,20.287,1.366,84.194,48931.176,1.426,-1.254,-65.153,5662.119,722.89,40169.309,5128.467,64.475,82.093,-3.466,-28.942,806.041,2019.718,257.86,6313.405,3.809,1.349,288.085,36.78,22.999,12.903,504.83,-0.871,-4.028,264.152,718.016,91.67,2069.004,8.176,4.228,16.389,149.347,1118.64,3119.73,398.3,8761.872,35.525,17.907,0.0,0.0,24.247,150.188,790.482,2239.11,285.87,6191.538,25.497,12.654,-2.215,-69.054,3048.324,1328.725,169.64,23876.348,7.947,0.656,69.787,8.91,15.13,48.796,56.192,18.053,,0.99,0.553,141.406,,440.127,1.61,,0.899,8781.849,6247.106,0.265,-0.84,328.158,880.621,112.43,2570.335,10.028,5.253,33.3,0.898,3.664,9.947,1.27,28.702,0.113,0.059,73.077,1.737,4.15,11.279,1.44,32.502,0.128,0.066
Japan,2005,JPN,127798376.0,4450600615936.0,,0.0,0.0,0.0,169.72,21.69,1.881,0.0,461.802,4.765,60.712,10444.688,1334.814,2497.684,319.2,-16.805,-1.357,52.554,6.716,27.683,21.013,1153.07,1153.07,20.433,1.686,105.312,49706.562,1.427,2.315,118.744,5925.271,757.24,41058.516,5247.211,65.672,82.602,2.635,21.239,827.28,1980.385,253.09,6473.319,7.367,2.709,308.999,39.49,21.949,13.023,532.49,-15.388,-42.062,222.091,606.893,77.56,1737.821,6.726,3.496,-0.621,-13.433,1105.207,3097.301,395.83,8648.049,34.328,17.398,0.0,0.0,2.509,14.705,805.187,2292.987,293.04,6300.447,25.414,12.675,1.207,36.793,3085.117,1447.201,184.95,24140.506,9.044,0.806,76.023,9.716,16.04,48.566,67.792,21.686,,20.121,11.601,169.689,,530.462,1.881,,1.067,9022.571,6352.418,-8.578,-28.138,300.02,804.314,102.79,2347.601,8.914,4.723,28.19,1.003,4.668,12.754,1.63,36.523,0.141,0.073,32.639,1.32,5.469,14.945,1.91,42.795,0.166,0.086
